stock,returns
GOOG,-3.210022
GOOG,0.059997
GOOG,-1.380004
GOOG,0.970031
GOOG,-0.760009
GOOG,13.609985
GOOG,-0.349976
GOOG,1.390015
GOOG,3.440002
GOOG,1.539978
GOOG,19.570008
GOOG,9.539978
GOOG,-0.570008
GOOG,2.52002
GOOG,31.710022
GOOG,6.609985
GOOG,3.869995
GOOG,10.599976
GOOG,4.619995
GOOG,-4.529968
GOOG,7.169983
GOOG,-2.130005
GOOG,-3.389954
GOOG,1.819947
GOOG,1.619995
GOOG,4.860046
GOOG,5.919983
GOOG,-23.380005
GOOG,10.619995
GOOG,3.77002
GOOG,7.849975
GOOG,6.960022
GOOG,6.140015
GOOG,14.579956
GOOG,1.929993
GOOG,4.410034
GOOG,-11.02002
GOOG,2.090027
GOOG,8.649964
GOOG,8.080017
GOOG,-7.109986
GOOG,4.369995
GOOG,2.469971
GOOG,-33.579956
GOOG,-6.929993
GOOG,10.5
GOOG,-2.640014
GOOG,-8.450012
GOOG,-2.529969
GOOG,17.589966
GOOG,-6.73999
GOOG,8.820007
GOOG,-2.359985
GOOG,8.5
GOOG,-13.320007
GOOG,-24.940003
GOOG,13.159973
GOOG,-22.700012
GOOG,-9.059998
GOOG,-10.029968
GOOG,13.01001
GOOG,-5.02002
GOOG,11.900025
GOOG,10.209961
GOOG,1.290039
GOOG,13.73999
GOOG,3.329956
GOOG,8.830017
GOOG,-2.570007
GOOG,11.980041
GOOG,5.489991
GOOG,-2.739991
GOOG,4.769959
GOOG,7.420044
GOOG,-29.640015
GOOG,-2.900024
GOOG,-13.709961
GOOG,7.440002
GOOG,-11.030029
GOOG,0.330017
GOOG,-0.440002
GOOG,-6.739991
GOOG,4.309998
GOOG,1.399963
GOOG,-2.570007
GOOG,-3.889954
GOOG,-15.660034
GOOG,7.150025
GOOG,8.279968
GOOG,-0.450012
GOOG,4.740051
GOOG,-15.980042
GOOG,-0.309997
GOOG,-4.01001
GOOG,18.030029
GOOG,2.309998
GOOG,-5.719971
GOOG,-5.390014
GOOG,-2.080017
GOOG,7.47998
GOOG,8.280029
GOOG,9.76001
GOOG,-1.98999
GOOG,-8.890015
GOOG,-0.640014
GOOG,8.140014
GOOG,-9.450012
GOOG,2.580017
GOOG,2.98999
GOOG,3.02002
GOOG,-9.980042
GOOG,-4.820007
GOOG,-5.289978
GOOG,6.809998
GOOG,9.770019
GOOG,0.869995
GOOG,-3.919983
GOOG,-7.560058
GOOG,3.890014
GOOG,19.630005
GOOG,5.01001
GOOG,9.609985
GOOG,-5.839965
GOOG,4.519958
GOOG,-6.109985
GOOG,18.280029
GOOG,8.929993
GOOG,-1.890015
GOOG,-4.400024
GOOG,16.650024
GOOG,-1.419983
GOOG,1.849976
GOOG,2.320007
GOOG,0.179993
GOOG,0.630005
GOOG,-8.359986
GOOG,3.75
GOOG,-19.75
GOOG,2.089966
GOOG,2.790039
GOOG,-0.770019
GOOG,46.710022
GOOG,-2.160035
GOOG,-0.46997
GOOG,8.859985
GOOG,0.079956
GOOG,6.900024
GOOG,-6.579956
GOOG,7.429932
GOOG,6.52002
GOOG,-8.589966
GOOG,-3.190064
GOOG,-2.319946
MSFT,1.120701
MSFT,0.7668
MSFT,0.97324
MSFT,-0.285091
MSFT,0.501365
MSFT,0.255596
MSFT,-0.707809
MSFT,0.127796
MSFT,0.078648
MSFT,0.471878
MSFT,-0.815953
MSFT,-1.042057
MSFT,0.049153
MSFT,0.953586
MSFT,-0.26543
MSFT,1.395962
MSFT,-0.353913
MSFT,0.943756
MSFT,0.19661
MSFT,0.796287
MSFT,-0.294921
MSFT,-0.098305
MSFT,-0.275261
MSFT,1.297653
MSFT,-0.078644
MSFT,0
MSFT,0.009827
MSFT,-0.304745
MSFT,0.039314
MSFT,-0.285087
MSFT,-0.088471
MSFT,-0.747142
MSFT,0.432556
MSFT,-0.275261
MSFT,0
MSFT,0.530857
MSFT,-0.196613
MSFT,-0.019661
MSFT,0.560352
MSFT,-0.570183
MSFT,0.088478
MSFT,-0.167125
MSFT,-0.029488
MSFT,-0.196617
MSFT,0.432548
MSFT,0.216278
MSFT,0.550522
MSFT,0.157288
MSFT,0.580009
MSFT,1.48444
MSFT,-0.639
MSFT,-0.471866
MSFT,-1.051888
MSFT,-0.403061
MSFT,0.501366
MSFT,-0.039318
MSFT,-0.206448
MSFT,-0.088474
MSFT,0.707806
MSFT,-0.058983
MSFT,0.707817
MSFT,0.237362
MSFT,-0.039559
MSFT,-0.009891
MSFT,0.098907
MSFT,-0.128578
MSFT,-0.128574
MSFT,0.257152
MSFT,0
MSFT,-0.385723
MSFT,-0.247261
MSFT,0.949478
MSFT,-0.919803
MSFT,0.237362
MSFT,0.019783
MSFT,0.128574
MSFT,0.583523
MSFT,-0.257134
MSFT,0.1978
MSFT,-0.21759
MSFT,-0.296704
MSFT,0.33627
MSFT,-0.108796
MSFT,0.227479
MSFT,0.059341
MSFT,-0.712105
MSFT,0.811005
MSFT,-0.158241
MSFT,0.108795
MSFT,0.118675
MSFT,0.18792
MSFT,0.178031
MSFT,0.237366
MSFT,0.148354
MSFT,-0.306603
MSFT,0.178032
MSFT,-0.168144
MSFT,0.168144
MSFT,-0.049454
MSFT,-0.148361
MSFT,-0.049446
MSFT,-0.247261
MSFT,-0.276932
MSFT,0.524193
MSFT,-0.089012
MSFT,-0.346161
MSFT,0.454949
MSFT,0.890129
MSFT,1.117607
MSFT,0.385719
MSFT,-0.089004
MSFT,0.435165
MSFT,0.187912
MSFT,0.93959
MSFT,-0.108795
MSFT,-0.21759
MSFT,-0.267037
MSFT,0.187912
MSFT,-0.059333
MSFT,0.098899
MSFT,0.267029
MSFT,-0.840675
MSFT,-0.079117
MSFT,0.049454
MSFT,1.362747
MSFT,-1.919777
MSFT,0.228775
MSFT,-0.01989
MSFT,0.755966
MSFT,0.228791
MSFT,0.089515
MSFT,0.845505
MSFT,0.338188
MSFT,0.447625
MSFT,-0.566986
MSFT,0.258621
MSFT,1.651207
MSFT,0.517242
MSFT,0.238724
MSFT,-0.129303
MSFT,-0.437676
MSFT,-1.62136
MSFT,-0.537133
MSFT,0.865387
MSFT,-0.37799
MSFT,-0.368035
MSFT,0.099472
MSFT,0.865387
MSFT,-0.95491
MSFT,0.358086
MSFT,-0.009941
MSFT,0.944961
MSFT,-0.676392
MSFT,-1.313011
MSFT,0.586884
MSFT,-1.303063
MSFT,0.437668
MSFT,-0.755974
MSFT,0.905182
MSFT,-0.507301
MSFT,0.885284
MSFT,0.51725
MSFT,0.009942
MSFT,1.153854
MSFT,0.616707
MSFT,1.004654
MSFT,0.566978
MSFT,-0.049736
MSFT,0.55703
MSFT,0.358093
MSFT,-0.427719
MSFT,-0.188995
MSFT,0.586876
MSFT,-0.13926
MSFT,-0.885277
MSFT,-0.119369
MSFT,-0.338203
MSFT,-0.119355
MSFT,-0.318306
MSFT,-0.10942
MSFT,0.527191
MSFT,-0.278511
MSFT,0.387931
MSFT,-0.318305
MSFT,-1.054383
MSFT,1.084221
MSFT,1.084221
MSFT,0.020004
MSFT,0.430001
MSFT,-1.25
MSFT,0.089996
MSFT,-0.339996
MSFT,1.010002
MSFT,-0.440003
MSFT,-0.029999
MSFT,0.129998
MSFT,0.010002
MSFT,0.220001
MSFT,0.959999
MSFT,0.759995
MSFT,-0.829995
MSFT,-0.330001
MSFT,-0.209999
MSFT,0.939994
MSFT,-0.359993
MSFT,0.779999
MSFT,-0.080002
MSFT,0.529999
MSFT,-0.440002
MSFT,0.540001
MSFT,-0.149994
MSFT,0.279998
MSFT,-0.5
MSFT,-0.730003
MSFT,0.200005
MSFT,-1.150002
MSFT,0
MSFT,0.589996
MSFT,0.020005
MSFT,0.619995
MSFT,0.120003
MSFT,-0.349999
MSFT,0.43
MSFT,1.279999
MSFT,0.029999
MSFT,0.290001
MSFT,0
MSFT,0.129997
MSFT,0.700005
MSFT,0.369995
MSFT,0.160004
MSFT,-0.060006
MSFT,0.020005
MSFT,0.300003
MSFT,0.899994
MSFT,0.020004
MSFT,0.029999
MSFT,-0.230004
MSFT,0.130005
MSFT,5.049996
MSFT,0.080001
MSFT,-0.709999
MSFT,0
MSFT,0.870003
MSFT,0.089996
MSFT,0.330002
MSFT,-0.200004
MSFT,0.290001
MSFT,-0.470002
MSFT,-0.219993
MSFT,0.059997
